Artist,Track,Album,Danceability,Energy,Valence,Tempo,Track_ID
Glup!,1/4 Para Las 3,Glup,,,,,0kKbDVkEVzYS7pkJTbnNJ8
Glup!,Grado 3,Welcome Polinesia,,,,,0SpADxMGryCt6r9rdlkdZ8
Glup!,Mi Destino,Glup,,,,,01mNrMDaDseSKzrTmRfqKa
Los Tres,La Espada & la Pared,La Espada & la Pared,,,,,3E5wpa4PEgtP6iHVzpIYS9
Los Tres,Hojas de Te,Grandes Exitos,,,,,51hsKpkTIzEk12X9CU7nQn
Los Tres,Un Amor Violento,Grandes Exitos,,,,,1DSWmpfOQZrEAbD0a3RF0u
Los Tres,He Barrido el Sol,Grandes Exitos,,,,,4d4JNtg5fvLenZVXK3JJfT
Los Tres,Quien es la Que Viene Alli - Unplugged Version,Los Tres MTV Unplugged,,,,,4131I9Y7U9QTLI4mAhpUTQ
Los Tres,La Primera Vez,Grandes Exitos,,,,,1d8m0EueAFRpG5NejH9Zs7
Los Tres,Sudapara,Los Tres,,,,,0bPWLVqlnn3ygaGsRF7YBe
Los Tres,La Torre de Babel,Grandes Exitos,,,,,6vE0pHbuoMFrOIRPxJDWDR
Los Tres,Somos Tontos No Pesados,Grandes Exitos,,,,,7wd91IeMp8six7kNcb362x
Los Tres,Silencio,Grandes Exitos,,,,,2Z7jMALpD4R4eYEt6RwXjl
Queen,Another One Bites The Dust - Remastered 2011,The Game (2011 Remaster),,,,,5vdp5UmvTsnMEMESIF2Ym7
Queen,I Want To Break Free - Single Remix,The Works (Deluxe Edition 2011 Remaster),,,,,3Au6174rC3JSzZN5BhCl3D
Queen,Radio Ga Ga - Remastered 2011,The Works (2011 Remaster),,,,,1nQRg9q9uwALGzouOX5OyQ
Queen,Somebody To Love - Remastered 2011,A Day At The Races (2011 Remaster),,,,,3vCHmbyOgc6pgwLUWfU4pF
Queen,Under Pressure - Remastered 2011,Hot Space (2011 Remaster),,,,,2fuCquhmrzHpu5xcA1ci9x
Queen,We Are The Champions - Remastered 2011,News Of The World (2011 Remaster),,,,,1lCRw5FEZ1gPDNPzy1K4zW
Queen,Killer Queen - Remastered 2011,Sheer Heart Attack (2011 Remaster),,,,,1CnN9udhDokm7lARZjMji2
Queen,Bohemian Rhapsody - Remastered 2011,A Night At The Opera (2011 Remaster),,,,,1AhDOtG9vPSOmsWgNW0BEY
Queen,Crazy Little Thing Called Love - Remastered 2011,The Game (2011 Remaster),,,,,6xdLJrVj4vIXwhuG8TMopk
Queen,Fat Bottomed Girls - 2011 Remaster,Jazz (2011 Remaster),,,,,6IAVxNFi1W88UhDeyvOsdo
Queen,Love Of My Life - Remastered 2011,A Night At The Opera (2011 Remaster),,,,,1luVGXHe7oimtkPScdsKBe
Queen,The Show Must Go On - Remastered 2011,Innuendo (2011 Remaster),,,,,5n6RDaGFSN88oRWuGtYAIN
Queen,Bicycle Race - Remastered 2011,Jazz (2011 Remaster),,,,,5CTAcf8aS0a0sIsDwQRF9C
Queen,Innuendo - Remastered 2011,Innuendo (2011 Remaster),,,,,0BzhS74ByIVlyz8BedHaYi
Queen,Flash - Remastered 2011,The Platinum Collection (2011 Remaster),,,,,1Z6okLuqS7BYpZCKEXXdzr
Imagine Dragons,Believer,Evolve,,,,,0CcQNd8CINkwQfe1RDtGV6
Imagine Dragons,Radioactive,Night Visions (Deluxe),,,,,6nDAs3PRe37fgqLfx51lBB
Imagine Dragons,Thunder,Evolve,,,,,0tKcYR2II1VCQWT79i5NrW
Imagine Dragons,Demons,Night Visions (Deluxe),,,,,2Oehrcv4Kov0SuIgWyQY9e
Imagine Dragons,Natural,Origins (Deluxe),,,,,2FY7b99s15jUprqC0M5NCT
Imagine Dragons,Bad Liar,Origins (Deluxe),,,,,2RSHsoi04658QL5xgQVov3
Imagine Dragons,Whatever It Takes,Evolve,,,,,4IWAyPf1KMq7JCyGeCjTeH
Imagine Dragons,It's Time,Night Visions (Deluxe),,,,,3xqF04FdMK7gpIPG3SPFpY
Imagine Dragons,Warriors,Smoke + Mirrors,,,,,0mZriPjLPG9PExNzKQ3NVS
Imagine Dragons,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Origins (Deluxe),,,,,2bzitsPcImYC6DZWvvLCQi
